dau_codigo,dau_anio,dau_universidad,dau_semestre,dau_nivel_educacion_superior,dau_programa,dau_categoria_personalU,dau_genero,dau_num_personalU
1,2014,2,1,5,6,1,1,3
2,2014,2,1,5,6,2,1,1
3,2014,2,1,5,6,3,1,13
4,2014,2,1,5,6,1,2,0
5,2014,2,1,5,6,2,2,0
6,2014,2,1,5,6,3,2,0
7,2014,2,1,5,1,1,1,0
8,2014,2,1,5,1,2,1,1
9,2014,2,1,5,1,3,1,13
10,2014,2,1,5,1,1,2,1
11,2014,2,1,5,1,2,2,0
12,2014,2,1,5,1,3,2,0
13,2014,2,1,5,41,1,1,16
14,2014,2,1,5,41,2,1,9
15,2014,2,1,5,41,3,1,28
16,2014,2,1,5,41,1,2,4
17,2014,2,1,5,41,2,2,2
18,2014,2,1,5,41,3,2,5
19,2014,2,1,5,45,1,1,14
20,2014,2,1,5,45,2,1,3
21,2014,2,1,5,45,3,1,26
22,2014,2,1,5,45,1,2,4
23,2014,2,1,5,45,2,2,1
24,2014,2,1,5,45,3,2,4
25,2014,2,1,5,20,1,1,3
26,2014,2,1,5,20,2,1,0
27,2014,2,1,5,20,3,1,26
28,2014,2,1,5,20,1,2,0
29,2014,2,1,5,20,2,2,0
30,2014,2,1,5,20,3,2,0
31,2014,2,1,5,34,1,1,3
32,2014,2,1,5,34,2,1,0
33,2014,2,1,5,34,3,1,5
34,2014,2,1,5,34,1,2,4
35,2014,2,1,5,34,2,2,0
36,2014,2,1,5,34,3,2,9
37,2014,2,1,5,44,1,1,3
38,2014,2,1,5,44,2,1,3
39,2014,2,1,5,44,3,1,7
40,2014,2,1,5,44,1,2,1
41,2014,2,1,5,44,2,2,0
42,2014,2,1,5,44,3,2,1
43,2014,2,1,5,76,1,1,0
44,2014,2,1,5,76,2,1,1
45,2014,2,1,5,76,3,1,4
46,2014,2,1,5,76,1,2,0
47,2014,2,1,5,76,2,2,0
48,2014,2,1,5,76,3,2,0
49,2014,2,1,5,77,1,1,0
50,2014,2,1,5,77,2,1,0
51,2014,2,1,5,77,3,1,9
52,2014,2,1,5,77,1,2,9
53,2014,2,1,5,77,2,2,9
54,2014,2,1,5,77,3,2,2
55,2014,2,1,5,78,1,1,0
56,2014,2,1,5,78,2,1,0
