pmor_codigo,pmor_municipio,pmor_anio,pmor_tipoConsulta,pmor_tipo_causa,pmor_edad,pmor_atenciones,pmor_porcentaje
1,,2016,1,2,,7976,
2,,2016,1,5,,19812,
3,,2016,1,6,,16471,
4,,2016,1,7,,15723,
5,,2016,1,12,,20,
6,,2016,1,14,,8051,
7,,2016,1,20,,18877,
8,,2016,1,24,,36674,
9,,2016,1,26,,16428,
10,,2016,1,27,,9188,
11,,2016,1,29,,12069,
12,,2016,1,30,,8021,
13,,2016,1,35,,16206,
14,,2016,1,36,,10579,
15,,2016,1,40,,18605,
16,,2016,2,1,,172,
17,,2016,2,3,,275,
18,,2016,2,7,,205,
19,,2016,2,8,,256,
20,,2016,2,10,,231,
21,,2016,2,12,,704,
22,,2016,2,19,,221,
23,,2016,2,20,,635,
24,,2016,2,24,,237,
25,,2016,2,26,,1068,
26,,2016,2,32,,440,
27,,2016,2,33,,339,
28,,2016,2,35,,867,
29,,2016,2,37,,258,
30,,2016,2,38,,828,
31,,2016,3,2,,619,
32,,2016,3,7,,2375,
33,,2016,3,9,,573,
34,,2016,3,12,,3,
35,,2016,3,13,,584,
36,,2016,3,15,,718,
37,,2016,3,20,,2338,
38,,2016,3,25,,715,
39,,2016,3,26,,1707,
40,,2016,3,27,,1376,
41,,2016,3,31,,699,
42,,2016,3,35,,2352,
43,,2016,3,38,,931,
44,,2016,3,40,,556,
45,,2016,3,41,,617,
46,,2015,1,5,,45,
47,,2015,1,7,,13,
48,,2015,1,11,,9905,
49,,2015,1,12,,14608,
50,,2015,1,14,,11092,
51,,2015,1,17,,9253,
52,,2015,1,20,,19703,
53,,2015,1,21,,26199,
54,,2015,1,24,,74457,
55,,2015,1,26,,13989,
56,,2015,1,28,,27476,
57,,2015,1,29,,12506,
58,,2015,1,35,,16357,
59,,2015,1,36,,8661,
60,,2015,1,40,,11129,
61,,2015,2,3,,202,
62,,2015,2,4,,300,
63,,2015,2,8,,287,
64,,2015,2,12,,492,
65,,2015,2,18,,194,
66,,2015,2,19,,192,
67,,2015,2,20,,623,
68,,2015,2,22,,176,
69,,2015,2,23,,173,
70,,2015,2,24,,239,
71,,2015,2,26,,768,
72,,2015,2,34,,298,
73,,2015,2,35,,767,
74,,2015,2,37,,256,
75,,2015,2,38,,526,
76,,2015,3,1,,872,
77,,2015,3,7,,819,
78,,2015,3,9,,595,
79,,2015,3,12,,2779,
80,,2015,3,16,,2,
81,,2015,3,17,,600,
82,,2015,3,20,,2,
83,,2015,3,25,,780,
84,,2015,3,26,,1247,
85,,2015,3,27,,1312,
86,,2015,3,29,,602,
87,,2015,3,31,,591,
88,,2015,3,35,,1457,
89,,2015,3,39,,1141,
90,,2015,3,40,,825,
91,,2014,1,2,,1454,
92,,2014,1,5,,5718,
93,,2014,1,7,,2696,
94,,2014,1,11,,2351,
95,,2014,1,12,,2904,
96,,2014,1,20,,3754,
97,,2014,1,44,,1464,
98,,2014,1,24,,20653,
99,,2014,1,26,,3,
100,,2014,1,29,,2166,
101,,2014,1,35,,3139,
102,,2014,1,36,,1958,
103,,2014,1,40,,3716,
104,,2014,1,42,,3419,
105,,2014,1,43,,2054,
106,,2014,2,3,,,5.4
107,,2014,2,8,,,1
108,,2014,2,12,,,1.1
109,,2014,2,13,,,2.5
110,,2014,2,16,,,1.1
111,,2014,2,19,,,2.7
112,,2014,2,20,,,1.7
113,,2014,2,45,,,2.9
114,,2014,2,24,,,1.5
115,,2014,2,26,,,1.1
116,,2014,2,32,,,3
117,,2014,2,35,,,1.1
118,,2014,2,37,,,2.4
119,,2014,2,38,,,4.6
120,,2014,2,46,,,2.3
121,,2014,3,47,,,17.4
122,,2014,3,7,,,0.8
123,,2014,3,12,,,1.4
124,,2014,3,13,,,3.9
125,,2014,3,15,,,1.1
126,,2014,3,16,,,0.9
127,,2014,3,19,,,1.7
128,,2014,3,20,,,4.8
129,,2014,3,24,,,0.9
130,,2014,3,26,,,2.2
131,,2014,3,29,,,0.9
132,,2014,3,31,,,1.3
133,,2014,3,35,,,3.6
134,,2014,3,37,,,1.3
135,,2014,3,40,,,1.2
136,,2013,1,5,,83327,
137,,2013,1,7,,28144,
138,,2013,1,12,,35573,
139,,2013,1,20,,30238,
140,,2013,1,24,,66559,
141,,2013,1,26,,35226,
142,,2013,1,29,,24708,
143,,2013,1,35,,43621,
144,,2013,1,36,,25,
145,,2013,1,40,,45075,
146,,2013,2,3,,1538,
147,,2013,2,48,,2257,
148,,2013,2,12,,2284,
149,,2013,2,20,,1559,
150,,2013,2,26,,3401,
151,,2013,2,35,,1899,
152,,2013,2,49,,1326,
153,,2013,2,37,,1807,
154,,2013,2,38,,6673,
155,,2013,2,46,,1199,
156,,2013,3,2,,3406,
157,,2013,3,7,,3464,
158,,2013,3,12,,11676,
159,,2013,3,50,,2481,
160,,2013,3,20,,6775,
161,,2013,3,26,,4863,
162,,2013,3,27,,3027,
163,,2013,3,31,,2865,
164,,2013,3,35,,8049,
165,,2013,3,40,,5396,
166,,2011,1,51,50,59,
167,,2011,1,11,50,4,
168,,2011,1,52,50,0,
169,,2011,1,53,50,299,
170,,2011,1,54,50,143,
171,,2011,1,55,50,104,
172,,2011,1,56,50,42,
173,,2011,1,57,50,28,
174,,2011,1,58,50,9408,
175,,2011,1,59,50,124,
176,,2011,1,60,50,123,
177,,2011,1,61,50,843,
178,,2011,1,62,50,430,
179,,2011,1,63,50,3486,
180,,2011,1,64,50,143,
181,,2011,1,51,51,752,
182,,2011,1,11,51,41,
183,,2011,1,52,51,0,
184,,2011,1,53,51,2632,
185,,2011,1,54,51,279,
186,,2011,1,55,51,8792,
187,,2011,1,56,51,329,
188,,2011,1,57,51,318,
189,,2011,1,58,51,39801,
190,,2011,1,59,51,903,
191,,2011,1,60,51,7013,
192,,2011,1,61,51,5902,
193,,2011,1,62,51,2757,
194,,2011,1,63,51,22718,
195,,2011,1,64,51,3,
196,,2011,1,51,52,1482,
197,,2011,1,11,52,151,
198,,2011,1,52,52,0,
199,,2011,1,53,52,4371,
200,,2011,1,54,52,1146,
201,,2011,1,55,52,39296,
202,,2011,1,56,52,2018,
203,,2011,1,57,52,1256,
204,,2011,1,58,52,28181,
205,,2011,1,59,52,3975,
206,,2011,1,60,52,18204,
207,,2011,1,61,52,4742,
208,,2011,1,62,52,3829,
209,,2011,1,63,52,21261,
210,,2011,1,64,52,4089,
211,,2011,1,51,53,7899,
212,,2011,1,11,53,3058,
213,,2011,1,52,53,9049,
214,,2011,1,53,53,5497,
215,,2011,1,54,53,16,
216,,2011,1,55,53,66439,
217,,2011,1,56,53,51245,
218,,2011,1,57,53,7332,
219,,2011,1,58,53,29627,
220,,2011,1,59,53,18582,
221,,2011,1,60,53,9985,
222,,2011,1,61,53,8711,
223,,2011,1,62,53,21574,
224,,2011,1,63,53,73544,
225,,2011,1,64,53,8321,
226,,2011,1,51,54,9407,
227,,2011,1,11,54,8983,
228,,2011,1,52,54,46622,
229,,2011,1,53,54,4408,
230,,2011,1,54,54,10789,
231,,2011,1,55,54,12352,
232,,2011,1,56,54,10979,
233,,2011,1,57,54,6045,
234,,2011,1,58,54,9724,
235,,2011,1,59,54,5442,
236,,2011,1,60,54,2756,
237,,2011,1,61,54,3589,
238,,2011,1,62,54,7777,
239,,2011,1,63,54,25668,
240,,2011,1,64,54,1954,
241,,2011,1,51,47,10,
242,,2011,1,11,47,12269,
243,,2011,1,52,47,110,
244,,2011,1,53,47,11184,
245,,2011,1,54,47,8503,
246,,2011,1,55,47,4637,
247,,2011,1,56,47,2476,
248,,2011,1,57,47,5,
249,,2011,1,58,47,8,
250,,2011,1,59,47,2834,
251,,2011,1,60,47,1923,
252,,2011,1,61,47,3634,
253,,2011,1,62,47,7792,
254,,2011,1,63,47,20529,
255,,2011,1,64,47,1653,
256,,2011,2,65,50,42,
257,,2011,2,66,50,93,
258,,2011,2,67,50,60,
259,,2011,2,52,50,0,
260,,2011,2,53,50,21,
261,,2011,2,68,50,84,
262,,2011,2,69,50,0,
263,,2011,2,75,50,247,
264,,2011,2,70,50,476,
265,,2011,2,71,50,8,
266,,2011,2,61,50,34,
267,,2011,2,72,50,15,
268,,2011,2,73,50,0,
269,,2011,2,74,50,0,
270,,2011,2,64,50,10,
271,,2011,2,65,51,264,
272,,2011,2,66,51,350,
273,,2011,2,67,51,338,
274,,2011,2,52,51,0,
275,,2011,2,53,51,92,
276,,2011,2,68,51,609,
277,,2011,2,69,51,0,
278,,2011,2,75,51,825,
279,,2011,2,70,51,1113,
280,,2011,2,71,51,17,
281,,2011,2,61,51,306,
282,,2011,2,72,51,17,
283,,2011,2,73,51,0,
284,,2011,2,74,51,0,
285,,2011,2,64,51,77,
286,,2011,2,65,52,621,
287,,2011,2,66,52,196,
288,,2011,2,67,52,707,
289,,2011,2,52,52,1,
290,,2011,2,53,52,98,
291,,2011,2,68,52,250,
292,,2011,2,69,52,8,
293,,2011,2,75,52,513,
294,,2011,2,70,52,233,
295,,2011,2,71,52,16,
296,,2011,2,61,52,335,
297,,2011,2,72,52,19,
298,,2011,2,73,52,65,
299,,2011,2,74,52,12,
300,,2011,2,64,52,187,
301,,2011,2,65,53,2173,
302,,2011,2,66,53,1,
303,,2011,2,67,53,808,
304,,2011,2,52,53,57,
305,,2011,2,53,53,98,
306,,2011,2,68,53,370,
307,,2011,2,69,53,631,
308,,2011,2,75,53,878,
309,,2011,2,70,53,200,
310,,2011,2,71,53,138,
311,,2011,2,61,53,850,
312,,2011,2,72,53,153,
313,,2011,2,73,53,5365,
314,,2011,2,74,53,1511,
315,,2011,2,64,53,739,
316,,2011,2,65,54,750,
317,,2011,2,66,54,275,
318,,2011,2,67,54,165,
319,,2011,2,52,54,119,
320,,2011,2,53,54,136,
321,,2011,2,68,54,105,
322,,2011,2,69,54,1,
323,,2011,2,75,54,251,
324,,2011,2,70,54,106,
325,,2011,2,71,54,143,
326,,2011,2,61,54,386,
327,,2011,2,72,54,224,
328,,2011,2,73,54,8,
329,,2011,2,74,54,4,
330,,2011,2,64,54,178,
331,,2011,2,65,47,797,
332,,2011,2,66,47,533,
333,,2011,2,67,47,126,
334,,2011,2,52,47,463,
335,,2011,2,53,47,725,
336,,2011,2,68,47,185,
337,,2011,2,69,47,0,
338,,2011,2,75,47,351,
339,,2011,2,70,47,280,
340,,2011,2,71,47,312,
341,,2011,2,61,47,470,
342,,2011,2,72,47,635,
343,,2011,2,73,47,3,
344,,2011,2,74,47,0,
345,,2011,2,64,47,178,
346,,2011,3,76,50,1,
347,,2011,3,69,50,0,
348,,2011,3,53,50,5,
349,,2011,3,77,50,1,
350,,2011,3,68,50,36,
351,,2011,3,78,50,6,
352,,2011,3,79,50,3,
353,,2011,3,62,50,10,
354,,2011,3,80,50,27,
355,,2011,3,81,50,86,
356,,2011,3,82,50,7,
357,,2011,3,83,50,9,
358,,2011,3,64,50,16,
359,,2011,3,84,50,0,
360,,2011,3,85,50,0,
361,,2011,3,76,51,0,
362,,2011,3,69,51,0,
363,,2011,3,53,51,62,
364,,2011,3,77,51,2,
365,,2011,3,68,51,312,
366,,2011,3,78,51,40,
367,,2011,3,79,51,8,
368,,2011,3,62,51,45,
369,,2011,3,80,51,212,
370,,2011,3,81,51,589,
371,,2011,3,82,51,8,
372,,2011,3,83,51,70,
373,,2011,3,64,51,117,
374,,2011,3,84,51,15,
375,,2011,3,85,51,1,
376,,2011,3,76,52,4,
377,,2011,3,69,52,4,
378,,2011,3,53,52,84,
379,,2011,3,77,52,20,
380,,2011,3,68,52,168,
381,,2011,3,78,52,89,
382,,2011,3,79,52,38,
383,,2011,3,62,52,37,
384,,2011,3,80,52,426,
385,,2011,3,81,52,562,
386,,2011,3,82,52,11,
387,,2011,3,83,52,30,
388,,2011,3,64,52,164,
389,,2011,3,84,52,60,
390,,2011,3,85,52,4,
391,,2011,3,76,53,278,
392,,2011,3,69,53,275,
393,,2011,3,53,53,85,
394,,2011,3,77,53,187,
395,,2011,3,68,53,310,
396,,2011,3,78,53,139,
